Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,4.000000,4.240000,3.970000,4.200000,4.091789,20573600
2019-01-03,4.260000,4.290000,4.170000,4.240000,4.130759,21264400
2019-01-04,4.290000,4.440000,4.270000,4.420000,4.306121,25632200
2019-01-07,4.410000,4.430000,4.310000,4.350000,4.237925,29566800
2019-01-08,4.420000,4.450000,4.290000,4.330000,4.218440,28894000
2019-01-09,4.360000,4.450000,4.340000,4.390000,4.276894,26220500
2019-01-10,4.360000,4.540000,4.360000,4.500000,4.384060,40476400
2019-01-11,4.540000,4.650000,4.530000,4.630000,4.510711,45870600
2019-01-14,4.660000,4.700000,4.620000,4.670000,4.549680,34416900
2019-01-15,4.700000,4.750000,4.690000,4.730000,4.608134,41402300
2019-01-16,4.710000,4.760000,4.660000,4.690000,4.569165,25838800
2019-01-17,4.650000,4.760000,4.630000,4.740000,4.617877,24061900
2019-01-18,4.750000,4.760000,4.680000,4.750000,4.627619,17804600
2019-01-22,4.720000,4.750000,4.540000,4.570000,4.452257,27176300
2019-01-23,4.550000,4.560000,4.460000,4.540000,4.423029,27489300
2019-01-24,4.490000,4.560000,4.460000,4.480000,4.364575,29604600
2019-01-25,4.570000,4.590000,4.490000,4.530000,4.413288,18543400
2019-01-28,4.610000,4.740000,4.590000,4.730000,4.608134,29453900
2019-01-29,4.770000,4.790000,4.690000,4.750000,4.627619,37650100
2019-01-30,4.780000,4.840000,4.680000,4.820000,4.695816,22517500
2019-01-31,4.860000,4.880000,4.760000,4.810000,4.686073,18418700
2019-02-01,4.800000,4.940000,4.790000,4.930000,4.802981,23082800
2019-02-04,4.870000,5.000000,4.850000,4.970000,4.841951,27220200
2019-02-05,5.060000,5.100000,4.960000,5.030000,4.900405,29620600
2019-02-06,4.920000,5.000000,4.850000,4.880000,4.754270,22451200
2019-02-07,4.920000,5.040000,4.880000,5.020000,4.890663,80236600
2019-02-08,5.030000,5.050000,4.780000,4.800000,4.676331,94192400
2019-02-11,4.830000,4.960000,4.800000,4.930000,4.802981,57084100
2019-02-12,5.000000,5.030000,4.930000,4.980000,4.851693,28864800
2019-02-13,4.910000,4.950000,4.830000,4.860000,4.734785,60236100
2019-02-14,4.820000,4.980000,4.800000,4.950000,4.822466,54849400
2019-02-15,4.990000,5.010000,4.900000,4.950000,4.822466,21964800
2019-02-19,4.860000,4.950000,4.850000,4.880000,4.754270,18923300
2019-02-20,4.860000,4.920000,4.820000,4.830000,4.705558,19919200
2019-02-21,4.820000,4.870000,4.770000,4.870000,4.744527,24121200
2019-02-22,4.830000,4.850000,4.790000,4.840000,4.715301,21977200
2019-02-25,4.890000,4.900000,4.840000,4.850000,4.725042,14976000
2019-02-26,4.880000,4.920000,4.830000,4.870000,4.744527,27257500
2019-02-27,4.870000,4.920000,4.840000,4.890000,4.764012,30379900
2019-02-28,4.660000,4.680000,4.520000,4.530000,4.413288,55413500
2019-03-01,4.450000,4.500000,4.350000,4.390000,4.276894,60522900
2019-03-04,4.370000,4.420000,4.320000,4.380000,4.267152,29755500
2019-03-05,4.350000,4.430000,4.320000,4.380000,4.267152,12903600
2019-03-06,4.390000,4.420000,4.230000,4.230000,4.121017,29692000
2019-03-07,4.270000,4.320000,4.210000,4.260000,4.150244,24049100
2019-03-08,4.270000,4.300000,4.210000,4.240000,4.130759,16588000
2019-03-11,4.290000,4.460000,4.290000,4.430000,4.315864,27822000
2019-03-12,4.430000,4.510000,4.390000,4.410000,4.296379,24793700
2019-03-13,4.400000,4.410000,4.330000,4.380000,4.267152,21723800
2019-03-14,4.320000,4.380000,4.270000,4.290000,4.179471,23522900
2019-03-15,4.330000,4.360000,4.270000,4.320000,4.208698,53353200
2019-03-18,4.390000,4.560000,4.380000,4.530000,4.413288,33538900
2019-03-19,4.530000,4.590000,4.500000,4.530000,4.413288,24515100
2019-03-20,4.490000,4.590000,4.450000,4.510000,4.393803,23984300
2019-03-21,4.490000,4.530000,4.330000,4.460000,4.345091,49642900
2019-03-22,4.290000,4.340000,4.230000,4.280000,4.169729,54303800
2019-03-25,4.230000,4.320000,4.210000,4.270000,4.159986,24441100
2019-03-26,4.290000,4.430000,4.200000,4.380000,4.267152,54346800
2019-03-27,4.250000,4.320000,4.170000,4.200000,4.091789,41524600
2019-03-28,4.180000,4.340000,4.170000,4.290000,4.179471,37755700
2019-03-29,4.310000,4.370000,4.270000,4.300000,4.189213,21349000
2019-04-01,4.350000,4.400000,4.320000,4.340000,4.228183,14764000
2019-04-02,4.390000,4.430000,4.320000,4.350000,4.237925,26246200
2019-04-03,4.390000,4.460000,4.340000,4.360000,4.247667,20970100
2019-04-04,4.360000,4.510000,4.360000,4.500000,4.384060,20331500
2019-04-05,4.540000,4.560000,4.470000,4.490000,4.374318,20772600
2019-04-08,4.480000,4.510000,4.420000,4.490000,4.374318,15856000
2019-04-09,4.480000,4.570000,4.460000,4.560000,4.442514,31511600
2019-04-10,4.550000,4.570000,4.510000,4.540000,4.423029,25170200
2019-04-11,4.540000,4.580000,4.420000,4.450000,4.335348,23572700
2019-04-12,4.420000,4.520000,4.350000,4.410000,4.296379,30096600
2019-04-15,4.450000,4.480000,4.420000,4.480000,4.364575,24394600
2019-04-16,4.460000,4.540000,4.440000,4.460000,4.345091,13796900
2019-04-17,4.470000,4.470000,4.290000,4.340000,4.228183,17174200
2019-04-18,4.300000,4.360000,4.270000,4.360000,4.247667,24784000
2019-04-22,4.330000,4.480000,4.330000,4.430000,4.315864,24187500
2019-04-23,4.460000,4.540000,4.460000,4.500000,4.384060,20240800
2019-04-24,4.440000,4.470000,4.350000,4.450000,4.335348,21714600
2019-04-25,4.480000,4.640000,4.440000,4.620000,4.500968,25578800
2019-04-26,4.600000,4.660000,4.570000,4.620000,4.500968,16108400
2019-04-29,4.650000,4.700000,4.620000,4.680000,4.559422,26088500
2019-04-30,4.700000,4.730000,4.600000,4.710000,4.588650,25537200
2019-05-01,4.700000,4.760000,4.630000,4.650000,4.530196,13150600
2019-05-02,4.610000,4.680000,4.530000,4.560000,4.442514,23684300
2019-05-03,4.570000,4.590000,4.490000,4.570000,4.452257,25318700
2019-05-06,4.510000,4.600000,4.490000,4.550000,4.432772,16352800
2019-05-07,4.500000,4.500000,4.310000,4.470000,4.354833,47354700
2019-05-08,4.500000,4.580000,4.490000,4.560000,4.442514,49348300
2019-05-09,4.460000,4.500000,4.400000,4.420000,4.306121,26688400
2019-05-10,4.420000,4.450000,4.320000,4.380000,4.267152,19658400
2019-05-13,4.290000,4.320000,4.250000,4.290000,4.179471,37587000
2019-05-14,4.290000,4.300000,4.210000,4.270000,4.159986,34348700
2019-05-15,4.160000,4.200000,4.140000,4.140000,4.033335,22853300
2019-05-16,4.100000,4.190000,4.090000,4.140000,4.033335,32202600
2019-05-17,4.110000,4.170000,4.010000,4.050000,3.945654,38060800
2019-05-20,4.020000,4.080000,4.000000,4.040000,3.935912,37947200
2019-05-21,4.090000,4.250000,4.050000,4.210000,4.101532,19373000
2019-05-22,4.250000,4.300000,4.220000,4.250000,4.140501,36243500
2019-05-23,4.220000,4.320000,4.210000,4.260000,4.150244,22987600
2019-05-24,4.250000,4.280000,4.180000,4.260000,4.150244,20154200
2019-05-28,4.290000,4.370000,4.260000,4.260000,4.150244,19551700
2019-05-29,4.310000,4.380000,4.290000,4.330000,4.218440,19966000
2019-05-30,4.340000,4.430000,4.330000,4.370000,4.257410,19509900
2019-05-31,4.370000,4.490000,4.360000,4.470000,4.354833,25676300
